Class,7  Li  [ No Gas ] ,9  Be  [ No Gas ] ,11  B  [ No Gas ] ,23  Na  [ He ] ,24  Mg  [ He ] ,27  Al  [ He ] ,28  Si  [ He ] ,31  P  [ He ] ,39  K  [ He ] ,44  Ca  [ He ] ,47  Ti  [ He ] ,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,71  Ga  [ He ] ,72  Ge  [ He ] ,75  As  [ He ] ,78  Se  [ He ] ,85  Rb  [ He ] ,88  Sr  [ He ] ,93  Nb  [ He ] ,95  Mo  [ He ] ,107  Ag  [ He ] ,111  Cd  [ He ] ,133  Cs  [ He ] ,135  Ba  [ He ] ,181  Ta  [ He ] ,182  W  [ He ] ,205  Tl  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ He ] 
Alaskan,41.71 ,0.36 ,894.79 ,3515111.19 ,1367206.90 ,941.97 ,15273.74 ,8489171.33 ,6669882.41 ,60213.20 ,144.69 ,14.34 ,17.88 ,299.06 ,11212.19 ,8.16 ,38.22 ,1505.68 ,22574.15 ,0.00 ,0.00 ,1234.84 ,1740.72 ,3757.07 ,1603.66 ,10.75 ,14.75 ,0.73 ,5.55 ,93.37 ,11.74 ,18.33 ,1.07 ,3.21 ,2.56 ,1.95 ,2.19 
Alaskan,26.25 ,0.13 ,714.12 ,1972503.88 ,1043805.17 ,952.89 ,13080.42 ,6068584.41 ,4515977.17 ,34519.14 ,253.98 ,3.33 ,10.40 ,301.88 ,8977.60 ,5.04 ,79.29 ,1192.39 ,12048.84 ,0.74 ,0.43 ,1128.97 ,1672.97 ,2723.32 ,746.83 ,7.05 ,7.11 ,0.29 ,4.40 ,66.47 ,243.45 ,10.51 ,0.67 ,2.21 ,5.78 ,6.34 ,6.11 
Alaskan,29.05 ,0.18 ,630.06 ,2215578.26 ,1038512.73 ,1547.99 ,12522.59 ,6473927.25 ,5007306.52 ,45422.57 ,179.40 ,9.47 ,30.51 ,235.54 ,8687.33 ,5.56 ,90.47 ,1377.13 ,13793.50 ,0.00 ,0.43 ,1047.49 ,1331.88 ,2899.93 ,999.14 ,6.93 ,7.78 ,1.64 ,9.00 ,69.40 ,25.57 ,13.26 ,0.96 ,2.32 ,3.33 ,3.47 ,3.25 
Alaskan,27.35 ,0.26 ,637.36 ,2146018.73 ,1059029.73 ,896.63 ,12791.64 ,6611607.38 ,4953765.25 ,43135.91 ,184.49 ,11.57 ,28.64 ,164.18 ,9739.59 ,4.49 ,39.31 ,1048.94 ,11922.48 ,0.75 ,0.00 ,1224.45 ,1502.52 ,2745.73 ,1094.64 ,5.56 ,8.93 ,0.46 ,9.19 ,60.95 ,21.85 ,59.32 ,1.38 ,1.15 ,1.45 ,1.82 ,1.77 
Alaskan,48.26 ,0.20 ,1135.33 ,2613560.57 ,1236368.93 ,987.93 ,13178.97 ,7205996.58 ,5337876.35 ,63615.56 ,177.44 ,8.88 ,37.92 ,248.96 ,14683.39 ,5.49 ,95.85 ,1434.53 ,16468.94 ,0.76 ,0.00 ,1435.49 ,1686.38 ,3071.21 ,1935.20 ,10.56 ,10.21 ,0.83 ,6.60 ,68.23 ,20.00 ,15.94 ,1.02 ,2.18 ,3.33 ,3.64 ,3.33 
Alaskan,21.67 ,0.13 ,320.67 ,1533382.66 ,995706.63 ,794.99 ,12260.43 ,6835697.62 ,5062195.91 ,32469.60 ,264.55 ,5.76 ,19.36 ,183.71 ,10147.30 ,4.60 ,40.17 ,1530.26 ,12729.78 ,0.36 ,0.44 ,2409.80 ,1390.32 ,2823.23 ,686.54 ,6.48 ,14.15 ,0.57 ,4.60 ,69.83 ,12.66 ,11.57 ,0.72 ,2.13 ,1.65 ,2.03 ,1.83 
Alaskan,28.13 ,0.09 ,625.15 ,1818233.96 ,891423.58 ,1038.60 ,11922.86 ,5180838.76 ,3875481.58 ,43167.94 ,192.59 ,12.54 ,24.83 ,158.41 ,7305.27 ,3.51 ,90.98 ,1051.17 ,10416.72 ,0.00 ,0.00 ,869.61 ,1190.69 ,2291.68 ,1070.56 ,4.87 ,6.85 ,1.24 ,13.59 ,51.87 ,13.00 ,10.04 ,0.73 ,1.56 ,6.22 ,5.51 ,5.69 
Alaskan,29.38 ,0.14 ,640.65 ,2169628.31 ,1185367.58 ,671.77 ,12881.32 ,7503775.83 ,6011038.03 ,36347.11 ,130.41 ,15.84 ,31.28 ,228.98 ,8593.71 ,4.63 ,52.90 ,1446.66 ,11915.83 ,0.00 ,0.48 ,796.10 ,1265.45 ,3414.19 ,708.84 ,5.69 ,11.52 ,0.39 ,5.77 ,81.17 ,7.30 ,9.49 ,0.49 ,3.82 ,1.62 ,1.13 ,1.38 
Alaskan,23.29 ,0.14 ,494.95 ,1589227.81 ,797388.75 ,713.36 ,12059.12 ,5039233.36 ,3939118.18 ,39491.74 ,126.84 ,8.27 ,11.50 ,150.95 ,8379.56 ,4.86 ,45.85 ,1055.32 ,11733.53 ,0.37 ,0.46 ,971.09 ,1310.46 ,2333.25 ,884.14 ,4.53 ,6.02 ,0.86 ,7.53 ,48.46 ,10.97 ,7.16 ,0.54 ,1.44 ,3.80 ,4.01 ,3.85 
Alaskan,27.04 ,0.13 ,598.53 ,2060090.19 ,1001401.48 ,664.49 ,11103.00 ,6239168.45 ,4753275.41 ,31472.41 ,226.26 ,4.42 ,6.19 ,172.09 ,6789.42 ,3.50 ,51.69 ,875.77 ,11564.61 ,0.35 ,0.00 ,1271.34 ,1212.33 ,2896.05 ,820.61 ,5.85 ,4.86 ,1.22 ,5.60 ,66.17 ,10.29 ,10.91 ,0.82 ,2.15 ,3.97 ,4.99 ,4.49 
